SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
1	1	4	26	38925	1108	0.52200929529499262571	1	1	947.15885700134094805	0	109	NaN	1	1	0	1	2	0
1	1	4	27	11271	8441	0.52205558482091873884	0	1	955.87626299675321206	0	NaN	NaN	0	1	1	0	1	0
1	1	4	28	38919	9826	0.52210188261233270168	0	1	888.49655300145968795	0	NaN	NaN	0	1	1	0	1	0
1	1	4	29	1702	7559	0.52214817644562572241	0	1	878.96979400102281943	0	NaN	NaN	0	1	1	0	1	0
1	1	4	30	2115	2880	0.52224076399579644203	0	1	1290.8541290016728453	0	NaN	NaN	0	1	1	0	1	0
1	1	4	31	34945	9949	0.5222870558500289917	0	1	1832.9767089962842874	0	NaN	NaN	0	1	1	0	1	0
1	1	4	32	65256	7441	0.52233335585333406925	1	0	1577.2747090013581328	0	196	NaN	1	0	1	0	1	0
1	1	4	33	48282	4751	0.52237964246887713671	0	1	1132.0419620024040341	0	NaN	NaN	0	1	1	0	1	0
1	1	4	34	44665	5679	0.52242593956179916859	0	1	1583.9642520004417747	0	NaN	NaN	0	1	1	0	1	0
1	1	4	35	33365	9865	0.52247223502490669489	1	1	1228.1538690003799275	0	133	NaN	1	1	0	1	2	0
1	1	4	36	25545	1645	0.52251853118650615215	0	1	1214.0229609940433875	0	NaN	NaN	0	1	1	0	1	0
1	1	4	37	67100	1266	0.52256482094526290894	1	1	875.80792100197868422	0	92	NaN	1	1	0	1	2	0
