SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA	people_count	animal_count	shared1000	interaction_type
1	21	8	25	57561	4033	150.60962776618544	0	0.0	1610.6874700635672	0.0			0	0.0	0	1	2.0	0	0	0	False	
1	21	8	27	57561	4033	150.60972035233863	1	1.0	574.3873680476099	0.0	1.0		1	1.0	0	1	2.0	0	0	0	False	
1	37	9	30	57561	4033	246.71396568138152	1	1.0	766.0704549998627	0.0	12064.0	12066.0	0	0.0	0	1	2.0	0	0	0	False	
1	21	8	28	58894	9942	150.60976665234193	0	0.0	618.3292970526963	0.0			0	0.0	0	1	2.0	0	0	3	False	
1	32	4	8	58894	9942	224.72044940455817	1	1.0	1179.4933059991308	0.0	7979.0		0	0.0	0	1	2.0	0	0	3	False	
1	34	5	14	58894	9942	234.6763776135631	1	1.0	854.6553569995011	0.0	1567.0	9547.0	0	0.0	0	1	2.0	0	0	3	False	
1	21	8	29	17943	220	150.60981294349767	0	1.0	906.9954749429598	0.0			0	1.0	1	0	1.0	0	0	0	True	
1	21	9	9	17943	220	150.6142445912119	1	1.0	902.4978310335428	0.0	41.0		1	1.0	0	1	2.0	0	0	0	True	
1	39	5	28	17943	220	260.65968473395327	1	1.0	1232.4005809987284	0.0	13268.0	13310.0	0	0.0	0	1	2.0	0	0	0	True	
1	21	8	33	40910	536	150.61004440661054	0	0.0	2642.7824900019914	1.0			0	0.0	1	1	2.0	0	0	1	True	
1	22	1	31	40910	536	154.6862267892575	1	0.0	1912.557792005828	0.0	309.0		0	1.0	1	0	1.0	0	0	1	True	
1	30	5	54	40910	536	210.73548872955143	1	1.0	1402.1879239990085	0.0	6272.0	6582.0	0	0.0	0	1	2.0	0	0	1	True	
1	21	8	34	51676	8180	150.61009070521686	0	1.0	1408.8171870680524	0.0			0	1.0	1	0	1.0	0	0	0	False	
1	21	9	1	51676	8180	150.61387423239648	1	1.0	1264.5745089976117	0.0	28.0		1	1.0	0	1	2.0	0	0	0	False	
1	21	12	21	51676	8180	150.6286465579178	1	1.0	721.4043060084804	0.0	207.0	236.0	1	1.0	0	1	2.0	0	0	0	False	
1	21	8	36	62440	9036	150.61018328717907	0	1.0	1659.8443679977208	0.0			0	1.0	1	0	1.0	0	4	0	False	
1	24	9	41	62440	9036	161.7359636387555	1	0.0	1102.5034849881195	0.0	2316.0		0	1.0	1	0	1.0	0	4	0	False	
1	35	6	62	62440	9036	239.71974037075412	1	0.0	1805.649005000305	0.0	8083.0	10400.0	0	1.0	1	0	1.0	0	4	0	False	
1	21	8	40	28618	3480	150.6104147657752	0	0.0	2747.3937020404264	1.0			0	0.0	1	1	2.0	0	0	0	False	
1	22	4	5	28618	3480	154.69838901865296	1	1.0	728.9650119928409	0.0	464.0		0	0.0	0	1	2.0	0	0	0	False	
1	25	9	40	28618	3480	168.73258724878542	1	0.0	1825.0740860003132	0.0	2596.0	3061.0	0	1.0	1	0	1.0	0	0	0	False	
1	21	8	41	64218	5271	150.6104610620532	0	1.0	801.6475610202177	0.0			0	1.0	1	0	1.0	0	0	0	False	
1	22	6	16	64218	5271	154.70885455468667	1	0.0	901.7577040067408	0.0	599.0		0	1.0	1	0	1.0	0	0	0	False	
1	22	7	42	64218	5271	154.71467439783737	1	1.0	1160.7185640023088	0.0	87.0	687.0	1	1.0	0	1	2.0	0	0	0	False	
1	21	8	42	22586	279	150.61050734797027	0	1.0	1349.2093629902229	0.0			0	1.0	1	0	1.0	0	0	1	True	
1	22	2	4	22586	279	154.68938684626482	1	1.0	1057.1338190056847	0.0	336.0		0	0.0	0	1	2.0	0	0	1	True	
1	37	4	51	22586	279	246.6900465247454	1	1.0	849.799902000086	0.0	11421.0	11758.0	0	0.0	0	1	2.0	0	0	1	True	
1	21	8	45	29704	3724	150.6106461408781	0	1.0	1040.5033819843084	0.0			0	1.0	1	0	1.0	0	1	1	False	
1	24	1	50	29704	3724	161.6968901263317	1	0.0	1121.0051780217327	0.0	1816.0		0	1.0	1	0	1.0	0	1	1	False	
1	24	2	25	29704	3724	161.7015134920366	1	1.0	624.7569459956139	0.0	37.0	1854.0	1	1.0	0	1	2.0	0	1	1	False	
1	21	8	56	66076	9762	150.61120166757607	0	1.0	1078.5537739284337	0.0			0	1.0	1	0	1.0	0	0	0	False	
1	21	10	60	66076	9762	150.621474086307	1	1.0	1101.603309973143	0.0	128.0		1	1.0	0	1	2.0	0	0	0	False	
1	22	3	23	66076	9762	154.694842022378	1	1.0	1045.9773800102992	0.0	274.0	403.0	0	0.0	0	1	2.0	0	0	0	False	
1	21	8	58	28913	7608	150.61129425372928	0	0.0	2954.947793041356	1.0			0	0.0	1	1	2.0	0	3	1	False	
1	22	4	34	28913	7608	154.69987033575308	1	1.0	1454.1844429913908	0.0	475.0		0	0.0	0	1	2.0	0	3	1	False	
1	34	1	10	28913	7608	234.6569361932343	1	0.0	1683.5853469992799	0.0	8787.0	9263.0	0	1.0	1	0	1.0	0	3	1	False	
1	21	8	61	4497	5423	150.6114331317367	0	0.0	2628.215685021132	1.0			0	0.0	2	1	2.0	0	11	0	False	
1	36	5	13	4497	5423	241.58870529464912	1	1.0	1772.0779160008533	0.0	11013.0		0	0.0	0	1	2.0	0	11	0	False	
1	39	7	47	4497	5423	260.6704430527752	1	1.0	988.5854909989577	0.0	2408.0	13422.0	0	0.0	0	1	2.0	0	11	0	False	
1	21	9	6	7916	4852	150.61410572752357	0	1.0	853.4682169556618	0.0			0	1.0	1	0	1.0	0	0	0	False	
1	22	1	54	7916	4852	154.68743034091312	1	1.0	889.581999013899	0.0	297.0		0	0.0	0	1	2.0	0	0	0	False	
1	22	6	19	7916	4852	154.70899335504507	1	1.0	600.7118799898308	0.0	277.0	575.0	1	1.0	0	1	2.0	0	0	0	False	
1	21	9	12	32610	3422	150.61442976689432	0	1.0	2123.449598089792	0.0			0	1.0	1	0	1.0	0	0	0	False	
1	29	10	60	32610	3422	206.60424528003205	1	1.0	3027.0357260005767	1.0	6110.0		0	0.0	1	1	2.0	0	0	0	False	
